index,r_mean,g_mean,b_mean,rgb_mean,r_std,g_std,b_std,rgb_std,r_skew,g_skew,b_skew,rgb_skew,r_kurtosis,g_kurtosis,b_kurtosis,rgb_kurtosis,DateTime
0706,109.87249457242012,103.09819778002829,109.58128141343022,107.51732458862621,6.154966082781921,5.719299320733778,6.025397199657657,6.738813663934018,8.62670728510537,9.586575840611879,7.219170207981613,5.85861250108964,8.62670728510537,9.586575840611879,7.219170207981613,5.85861250108964,2021-12-29 18:22:10
0707,109.2983366064029,102.75604189439728,109.21827645426097,107.09088498502038,5.895234935136582,5.56707141300144,5.930538999176172,6.560154307715822,8.454477101937217,9.365891663125396,7.0477405493909355,5.677576289677089,8.454477101937217,9.365891663125396,7.0477405493909355,5.677576289677089,2021-12-29 18:23:23
0708,107.40193372324389,100.69284843232025,107.29147968196303,105.12875394584238,6.121122763182953,5.7265747067944535,6.0029370226766545,6.728522405591425,8.7972342788862,9.844415663699968,7.3833053240704345,5.964775268221407,8.7972342788862,9.844415663699968,7.3833053240704345,5.964775268221407,2021-12-29 18:23:55
0709,106.83744777824216,100.26683493057341,107.18453313882459,104.76293861588006,6.031139296594863,5.661023755830069,6.005165991620816,6.7048864373487485,8.637800681196541,9.605274810824595,7.158342850276365,5.724089278865954,8.637800681196541,9.605274810824595,7.158342850276365,5.724089278865954,2021-12-29 18:24:26
0710,106.95266328732282,100.38457573784723,107.2268219901156,104.85468700509522,6.0892153842152466,5.715801477440273,6.019175078238536,6.732751363221557,8.822647294876365,9.808539605959432,7.351976340081857,5.912318127433888,8.822647294876365,9.808539605959432,7.351976340081857,5.912318127433888,2021-12-29 18:24:57
0711,107.08598527877801,100.52171511970593,107.35942344857396,104.98904128235263,6.203746023670417,5.70005038556733,5.950038896457401,6.7417329813414275,8.502976995788215,9.556516419428455,7.165189140159689,5.766816919838947,8.502976995788215,9.556516419428455,7.165189140159689,5.766816919838947,2021-12-29 18:25:28
0712,107.18582355654507,100.48101971298797,107.4926001501236,105.05314780655222,5.970837826120145,5.5883414697340905,5.9214805458044255,6.667032960211525,8.822908441567865,9.87331016157874,7.309554295531732,5.740911944180878,8.822908441567865,9.87331016157874,7.309554295531732,5.740911944180878,2021-12-29 18:25:59
0713,108.3383817528828,101.44147819724866,107.92302543036622,105.90096179349923,5.925159463108326,5.498619090932911,5.857108661674872,6.5717780394722585,8.58566810399777,9.959048555431728,7.361284015357588,5.772559214895756,8.58566810399777,9.959048555431728,7.361284015357588,5.772559214895756,2021-12-29 18:26:30
0714,110.40985640467821,102.88430982885374,108.61062310894276,107.30159644749158,6.1165872340677385,5.579873633454191,5.820393434150861,6.666129829684331,7.010056178383875,8.75660832669686,7.120399672089774,5.114149536463828,7.010056178383875,8.75660832669686,7.120399672089774,5.114149536463828,2021-12-29 18:27:01
0715,110.7973062369613,103.0310934351959,108.47305187614312,107.43381718276677,6.437761988307344,5.887079535689724,5.899900339602523,6.896577717919263,5.99760229105515,7.3683165667916315,6.627392246918391,4.560135424008867,5.99760229105515,7.3683165667916315,6.627392246918391,4.560135424008867,2021-12-29 18:27:32
0716,108.55161553667624,101.50071562115984,107.8235949467021,105.95864203484606,6.594427866805441,6.066091394084551,6.101113378123929,7.013848135393413,6.4211144078679805,7.627455337054812,6.624313230122951,4.867179544942873,6.4211144078679805,7.627455337054812,6.624313230122951,4.867179544942873,2021-12-29 18:28:03
0717,107.08687337239583,100.38225718333834,107.17262321789623,104.88058459121014,6.051634431104281,5.700978044474687,5.9975520522681265,6.719378971591361,9.00869482384099,9.901588263985781,7.41912119895103,5.949252292922337,9.00869482384099,9.901588263985781,7.41912119895103,5.949252292922337,2021-12-29 18:28:34
0718,106.26531694967778,99.78298940427455,106.93427582554584,104.32752739316605,6.1926744762377455,5.779372599163801,6.051262558636586,6.820829242100671,8.961188157767769,9.893835909753422,7.343721182039871,5.935272608253026,8.961188157767769,9.893835909753422,7.343721182039871,5.935272608253026,2021-12-29 18:29:05
0719,106.38777451587148,99.87557730829546,107.28241996608153,104.51525726341616,6.0324139633665785,5.6739328538243985,6.001661877407186,6.764949320223203,8.875014676544696,9.785445525434339,7.211171702709538,5.682494134803589,8.875014676544696,9.785445525434339,7.211171702709538,5.682494134803589,2021-12-29 18:29:36
0720,106.3738831710641,99.96801450822689,107.38037952201574,104.57409240043557,6.039727991092115,5.686165785368834,6.015664193789404,6.765832272366808,8.791489507353885,9.699285935966907,7.161454356337312,5.665620631535295,8.791489507353885,9.699285935966907,7.161454356337312,5.665620631535295,2021-12-29 18:30:07
0721,106.15276092124628,99.84239829594979,107.14183682832862,104.37899868184157,5.881943288027077,5.561328895048888,5.948205572656652,6.639955713304916,8.771968626919277,9.640721100969479,7.1030504842262525,5.611086187540244,8.771968626919277,9.640721100969479,7.1030504842262525,5.611086187540244,2021-12-29 18:30:38
0722,105.92098880413738,99.6969752126379,107.10151393979338,104.23982598552288,5.962394716641786,5.6303035074548236,6.038095216042439,6.71719489311079,9.04540301414671,9.910286139349804,7.372557914516251,5.833146516017399,9.04540301414671,9.910286139349804,7.372557914516251,5.833146516017399,2021-12-29 18:31:09
0723,105.89692074706362,99.69759650420096,107.13444803008545,104.24298842711667,5.955189641369156,5.593400351411404,5.9644690986539635,6.685355170622589,8.780472057927748,9.648707678918932,7.069484944612406,5.617731295733133,8.780472057927748,9.648707678918932,7.069484944612406,5.617731295733133,2021-12-29 18:31:40
